epoch_time,corrupt_magn,missing_type,LaX,LaY,LaZ,LqX,LqY,LqZ,HaX,HaY,HaZ,HqX,HqY,HqZ,RaX,RaY,RaZ,RqX,RqY,RqZ
453847,0,0,-226,-1356,277,-20514,7421,-8108,-2108,-1657,128,-17310,14310,15433,603,-702,263,-20547,-13441,-2274
453857,0,0,-169,-1467,355,-20589,7569,-8038,-1218,-1651,-105,-16671,14956,15874,614,-784,181,-20462,-13290,-2489
453867,0,0,-19,-1573,392,-20650,7751,-7965,-527,-1510,117,-16038,15515,16240,620,-825,117,-20362,-13236,-2556
453877,0,0,140,-1604,286,-20700,7946,-7866,-52,-691,-199,-15671,15790,16293,673,-813,169,-20272,-13175,-2697
453887,0,0,253,-1538,165,-20724,8132,-7743,749,-1095,152,-15532,15915,15991,626,-790,193,-20198,-13089,-2889
453897,0,0,300,-1305,70,-20695,8289,-7640,-269,-111,175,-15196,16215,15761,620,-691,228,-20139,-12963,-3190
453907,0,0,238,-1075,17,-20681,8315,-7583,322,-380,-245,-15153,16321,15313,632,-702,158,-20072,-12909,-3403
453917,0,0,91,-972,17,-20714,8213,-7481,35,-562,-556,-15315,16240,14884,655,-743,93,-19996,-12933,-3500
453927,0,0,-111,-940,111,-20680,8219,-7401,-380,-538,-632,-15945,15771,14473,691,-732,81,-19918,-12981,-3568
453937,0,0,-269,-921,253,-20555,8309,-7368,-234,-614,-626,-16941,14919,14035,696,-720,70,-19846,-13035,-3646
453947,0,0,-341,-921,347,-20379,8457,-7415,-222,-755,-433,-17774,13899,13672,691,-691,93,-19789,-13044,-3771
453957,0,0,-322,-931,413,-20200,8568,-7492,-146,-802,-298,-18439,12754,13371,673,-667,158,-19746,-13013,-3929
453967,0,0,-244,-915,439,-20038,8596,-7565,-17,-784,-210,-18615,11938,13377,673,-679,146,-19714,-12963,-4104
453978,0,0,-177,-880,435,-19907,8573,-7622,64,-720,-163,-18784,11048,13387,685,-732,146,-19685,-12914,-4256
453988,0,0,-134,-843,456,-19788,8520,-7668,134,-667,-128,-18965,10103,13381,667,-714,128,-19663,-12874,-4388
453998,0,0,-83,-851,470,-19661,8465,-7731,181,-673,-117,-19179,9124,13345,673,-679,163,-19647,-12820,-4564
454008,0,0,-31,-894,435,-19563,8404,-7765,152,-650,-52,-19438,8126,13262,667,-696,163,-19638,-12760,-4731
454018,0,0,7,-956,411,-19508,8336,-7763,146,-696,29,-19743,7120,13094,696,-702,146,-19626,-12730,-4878
454028,0,0,29,-1083,392,-19500,8292,-7725,122,-919,99,-20150,5906,12654,685,-691,163,-19612,-12698,-5035
454038,0,0,27,-1177,337,-19501,8286,-7686,35,-1130,146,-20593,4577,11988,673,-655,146,-19596,-12665,-5199
454048,0,0,19,-1221,302,-19486,8285,-7654,-93,-1218,169,-20928,3678,11505,691,-679,140,-19580,-12637,-5341
454058,0,0,23,-1206,263,-19452,8288,-7632,-269,-1200,140,-21245,2851,10950,708,-679,111,-19555,-12633,-5465
454068,0,0,3,-1145,244,-19407,8280,-7631,-433,-1165,70,-21550,2087,10337,726,-679,70,-19524,-12662,-5556
454078,0,0,-39,-1073,238,-19375,8165,-7599,-562,-1171,0,-21852,1370,9676,714,-685,105,-19486,-12680,-5663
454088,0,0,-70,-1003,240,-19335,8052,-7600,-691,-1247,-52,-22151,694,8979,737,-737,111,-19432,-12671,-5793
454098,0,0,-66,-915,245,-19287,7931,-7637,-802,-1305,-81,-22444,51,8253,691,-673,35,-19360,-12706,-5874
454108,0,0,-81,-837,234,-19238,7809,-7695,-925,-1417,-87,-22722,-571,7501,761,-655,64,-19284,-12739,-5953
454119,0,0,-50,-741,220,-19224,7698,-7785,-1036,-1581,-35,-23093,-1470,6331,749,-661,52,-19206,-12750,-6054
454129,0,0,-19,-675,208,-19227,7575,-7882,-1112,-1715,0,-23313,-2035,5535,749,-691,105,-19128,-12742,-6181
454136,0,0,-1,-659,228,-19240,7447,-7984,-1177,-1786,35,-23519,-2564,4743,761,-696,122,-19090,-12727,-6263
454146,0,0,11,-661,224,-19250,7382,-8034,-1253,-1856,64,-23722,-3055,3960,726,-714,134,-19010,-12687,-6426
454156,0,0,21,-696,222,-19276,7259,-8129,-1370,-1926,169,-23916,-3520,3200,761,-714,128,-18925,-12667,-6570
454166,0,0,27,-733,193,-19311,7146,-8214,-1540,-1932,304,-24096,-3982,2475,802,-708,117,-18832,-12672,-6726
454179,0,0,39,-798,181,-19373,6985,-8327,-1709,-1832,480,-24267,-4467,1798,790,-720,351,-18708,-12581,-7101
454186,0,0,40,-821,171,-19394,6931,-8362,-1827,-1651,597,-24422,-4961,1156,749,-726,357,-18670,-12509,-7284
454196,0,0,39,-862,171,-19460,6749,-8378,-2002,-1452,585,-24505,-5419,474,732,-772,327,-18590,-12472,-7513
454208,0,0,15,-880,156,-19525,6603,-8393,-2348,-1001,439,-24547,-6115,-517,778,-808,263,-18491,-12490,-7716
454216,0,0,11,-903,148,-19598,6452,-8352,-2406,-802,368,-24557,-6367,-813,796,-732,281,-18380,-12530,-7913
454226,0,0,-7,-917,142,-19667,6333,-8307,-2535,-527,281,-24590,-6878,-1321,802,-749,333,-18258,-12569,-8126
454236,0,0,-7,-931,132,-19736,6228,-8245,-2728,-210,222,-24677,-7360,-1681,825,-761,345,-18110,-12710,-8273
454248,0,0,-19,-968,119,-19839,6093,-8124,-2968,251,450,-24826,-7778,-1875,802,-808,316,-17948,-12868,-8414
454256,0,0,-17,-981,111,-19872,6059,-8083,-3097,573,878,-25015,-8109,-1918,843,-825,322,-17768,-13053,-8556
454266,0,0,-9,-995,101,-19938,5996,-7994,-3132,626,1259,-25208,-8352,-1838,960,-796,199,-17565,-13277,-8707
454276,0,0,5,-989,95,-20004,5917,-7880,-3109,527,1446,-25375,-8501,-1646,1042,-890,152,-17344,-13529,-8881
454286,0,0,19,-977,87,-20072,5819,-7752,-3015,380,1417,-25504,-8546,-1347,1030,-890,181,-17107,-13791,-9082
454296,0,0,40,-954,50,-20148,5700,-7604,-2898,216,1218,-25602,-8474,-953,1030,-890,228,-16848,-14064,-9312
454306,0,0,48,-942,23,-20237,5573,-7442,-2764,58,907,-25682,-8299,-488,983,-884,292,-16569,-14354,-9572
454316,0,0,58,-931,11,-20326,5452,-7283,-2594,-70,626,-25767,-8050,11,966,-890,363,-16278,-14663,-9871
454326,0,0,60,-931,11,-20408,5342,-7139,-2412,-275,515,-25866,-7739,522,966,-1089,603,-15957,-14971,-10233
454336,0,0,64,-946,27,-20483,5242,-7003,-1487,-1153,1991,-25553,-7335,1499,1036,-1136,509,-15601,-15314,-10602
454347,0,0,80,-952,50,-20551,5140,-6877,3199,-3874,-2453,-25343,-7083,2018,1077,-1206,351,-15217,-15723,-10939
454357,0,0,93,-960,78,-20608,5049,-6774,1645,-1926,702,-25138,-6672,2481,1130,-1223,333,-14810,-16180,-11288
454367,0,0,113,-970,119,-20651,4965,-6705,-620,-878,1165,-24869,-6160,2874,1305,-1282,169,-14378,-16680,-11683
454377,0,0,130,-976,148,-20690,4872,-6658,-1475,-562,907,-24661,-5707,3435,1259,-1569,105,-13924,-17251,-12072
454387,0,0,130,-991,156,-20735,4763,-6618,-1030,-374,825,-24577,-5476,3915,1481,-1692,175,-13398,-17835,-12510
454397,0,0,142,-1005,165,-20778,4646,-6588,-942,-878,298,-24557,-5235,4316,1604,-1856,146,-12789,-18422,-12967
454407,0,0,146,-1036,148,-20829,4522,-6556,-386,-1305,11,-24506,-5091,4672,1423,-1780,427,-12108,-19056,-13391
